     index       z       Da
     1           0.02    0.20959E+03
     2           0.04    0.39525E+03
     3           0.06    0.56001E+03
     4           0.08    0.70645E+03
     5           0.10    0.83673E+03
     6           0.12    0.95274E+03
     7           0.14    0.10561E+04
     8           0.16    0.11482E+04
     9           0.18    0.12303E+04
    10           0.20    0.13034E+04
    11           0.22    0.13684E+04
    12           0.24    0.14264E+04
    13           0.26    0.14778E+04
    14           0.28    0.15235E+04
    15           0.30    0.15639E+04
    16           0.32    0.15997E+04
    17           0.34    0.16312E+04
    18           0.36    0.16589E+04
    19           0.38    0.16832E+04
    20           0.40    0.17043E+04
    21           0.42    0.17226E+04
    22           0.44    0.17384E+04
    23           0.46    0.17518E+04
    24           0.48    0.17632E+04
    25           0.50    0.17726E+04
    26           0.52    0.17804E+04
    27           0.54    0.17865E+04
    28           0.56    0.17913E+04
    29           0.58    0.17947E+04
    30           0.60    0.17970E+04
    31           0.62    0.17982E+04
    32           0.64    0.17985E+04
    33           0.66    0.17979E+04
    34           0.68    0.17965E+04
    35           0.70    0.17943E+04
    36           0.72    0.17916E+04
    37           0.74    0.17882E+04
    38           0.76    0.17843E+04
    39           0.78    0.17799E+04
    40           0.80    0.17750E+04
    41           0.82    0.17698E+04
    42           0.84    0.17641E+04
    43           0.86    0.17582E+04
    44           0.88    0.17520E+04
    45           0.90    0.17455E+04
    46           0.92    0.17388E+04
    47           0.94    0.17318E+04
    48           0.96    0.17247E+04
    49           0.98    0.17174E+04
    50           1.00    0.17100E+04
